"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P49840","GSK3A","GSK3A","Kinase","8","0.262","0.149","1.759","0.0785","0.141"
"Q13164","ERK5","MAPK7","Kinase","5","0.299","0.17","1.755","0.0793","0.141"
"O75676","MSK2","RPS6KA4","Kinase","2","0.444","0.254","1.75","0.0801","0.142"
"P21675","TAF1","TAF1","Kinase","1","1.108","0.654","1.693","0.0904","0.159"
"Q02156","PKCE","PRKCE","Kinase","13","0.187","0.111","1.684","0.0922","0.161"
"Q6P2M8","CAMK1B","PNCK","Kinase","1","1.093","0.655","1.669","0.0951","0.165"
"P12931","Src","SRC","Kinase","20","0.201","0.122","1.657","0.0976","0.167"
"P43250","GRK6","GRK6","Kinase","1","1.138","0.688","1.654","0.0981","0.167"
"Q00526","CDK3","CDK3","Kinase","4","0.287","0.174","1.653","0.0984","0.167"
"Q13464","ROCK1","ROCK1","Kinase","10","0.275","0.17","1.614","0.107","0.180"
"Q9H093","NuaK2","NUAK2","Kinase","1","-0.689","0.43","-1.605","0.109","0.182"
"O95747","OSR1","OXSR1","Kinase","2","0.743","0.476","1.561","0.119","0.198"
"Q96L34","MARK4","MARK4","Kinase","1","0.375","0.244","1.54","0.124","0.204"
"Q9HC98","NEK6","NEK6","Kinase","7","0.298","0.194","1.539","0.124","0.204"
"P48729","CK1A","CSNK1A1","Kinase","7","0.294","0.193","1.525","0.127","0.209"
"Q13555","CAMK2G","CAMK2G","Kinase","3","0.591","0.398","1.484","0.138","0.223"
"P07947","Yes","YES1","Kinase","2","0.284","0.191","1.483","0.138","0.223"
"Q92519","TRB2","TRIB2","Kinase","1","0.244","0.165","1.477","0.140","0.224"
"P51617","IRAK1","IRAK1","Kinase","2","0.204","0.14","1.463","0.144","0.229"
"P30291","Wee1","WEE1","Kinase","1","0.378","0.261","1.444","0.149","0.236"
"Q9HCP0","CK1G1","CSNK1G1","Kinase","1","0.637","0.443","1.44","0.150","0.237"
"P78362","SRPK2","SRPK2","Kinase","1","0.613","0.433","1.415","0.157","0.247"
"Q96GX5","MASTL","MASTL","Kinase","1","0.926","0.66","1.403","0.161","0.250"
"P78368","CK1G2","CSNK1G2","Kinase","2","0.445","0.32","1.39","0.164","0.254"
"Q7L7X3","TAO1","TAOK1","Kinase","4","0.25","0.18","1.389","0.165","0.254"
"Q9UEW8","STLK3","STK39","Kinase","1","0.474","0.346","1.37","0.171","0.261"
"P06239","Lck","LCK","Kinase","2","0.406","0.3","1.352","0.176","0.269"
"Q9NYV4","CDK12","CDK12","Kinase","3","0.333","0.247","1.346","0.178","0.270"
"Q05397","FAK","PTK2","Kinase","1","0.345","0.262","1.317","0.188","0.281"
"Q13882","Brk","PTK6","Kinase","1","0.345","0.262","1.317","0.188","0.281"
"Q38SD2","LRRK1","LRRK1","Kinase","1","0.565","0.436","1.298","0.194","0.289"
"P08581","Met","MET","Kinase","1","0.245","0.19","1.291","0.197","0.290"
"P09769","FGR","FGR","Kinase","1","0.245","0.19","1.291","0.197","0.290"
"P00519","Abl","ABL1","Kinase","7","0.266","0.211","1.263","0.207","0.303"
"Q16584","MLK3","MAP3K11","Kinase","3","-0.271","0.217","-1.251","0.211","0.305"
"Q13557","CAMK2D","CAMK2D","Kinase","4","-0.641","0.513","-1.251","0.211","0.305"
"Q86Z02","HIPK1","HIPK1","Kinase","2","0.362","0.29","1.247","0.212","0.306"
"Q07912","Ack","TNK2","Kinase","2","0.659","0.533","1.236","0.216","0.310"
"O43353","RIPK2","RIPK2","Kinase","2","0.569","0.462","1.23","0.219","0.310"
"O00141","SGK1","SGK1","Kinase","24","0.122","0.099","1.229","0.219","0.310"
"Q04759","PKCT","PRKCQ","Kinase","9","0.209","0.172","1.215","0.224","0.315"
"P30530","AXL","AXL","Kinase","3","0.345","0.284","1.214","0.225","0.315"
"O14578","CRIK","CIT","Kinase","2","0.402","0.334","1.204","0.229","0.319"
"P15531","NME1","NME1","Kinase","3","0.346","0.305","1.137","0.256","0.354"
"O94921","CDK14","CDK14","Kinase","3","0.305","0.271","1.124","0.261","0.360"
"P42684","Arg","ABL2","Kinase","2","0.441","0.398","1.109","0.267","0.367"
"Q13177","PAK2","PAK2","Kinase","14","-0.122","0.112","-1.09","0.276","0.377"
"O00506","YSK1","STK25","Kinase","2","0.403","0.372","1.083","0.279","0.379"
"Q9Y6E0","MST3","STK24","Kinase","4","0.279","0.259","1.075","0.282","0.380"
"Q9UL54","TAO2","TAOK2","Kinase","3","0.22","0.205","1.075","0.283","0.380"
"Q9H2G2","SLK","SLK","Kinase","1","0.424","0.401","1.056","0.291","0.389"
"Q13627","DYRK1A","DYRK1A","Kinase","10","0.332","0.322","1.031","0.302","0.399"
"P29597","Tyk2","TYK2","Kinase","1","0.667","0.647","1.031","0.303","0.399"
"P49760","CLK2","CLK2","Kinase","1","0.277","0.269","1.027","0.304","0.399"
