"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q13464","ROCK1","ROCK1","Kinase","5","2.102","0.3","6.998","2.59e-12","1.25e-11"
"P41279","Cot","MAP3K8","Kinase","2","1.4","0.201","6.973","3.11e-12","1.46e-11"
"Q13131","AMPKA1","PRKAA1","Kinase","21","1.146","0.164","6.967","3.25e-12","1.50e-11"
"P12931","Src","SRC","Kinase","10","1.103","0.159","6.933","4.13e-12","1.87e-11"
"P05771","PKCB iso2","PRKCB","Kinase","5","1.153","0.168","6.879","6.05e-12","2.67e-11"
"P06493","CDK1","CDK1","Kinase","164","0.543","0.079","6.876","6.15e-12","2.67e-11"
"P31751","Akt2","AKT2","Kinase","15","1.087","0.158","6.872","6.33e-12","2.70e-11"
"P07948","LYN","LYN","Kinase","2","1.358","0.199","6.83","8.50e-12","3.56e-11"
"P06241","Fyn","FYN","Kinase","5","2.027","0.3","6.759","1.39e-11","5.65e-11"
"Q16539","P38A","MAPK14","Kinase","22","0.834","0.123","6.756","1.42e-11","5.65e-11"
"Q02156","PKCE","PRKCE","Kinase","8","1.131","0.167","6.755","1.42e-11","5.65e-11"
"Q13418","ILK","ILK","Kinase","2","1.423","0.212","6.705","2.02e-11","7.87e-11"
"O00141","SGK1","SGK1","Kinase","9","1.147","0.172","6.686","2.29e-11","8.76e-11"
"P45984","JNK2 iso2","MAPK9","Kinase","4","0.864","0.132","6.53","6.59e-11","2.48e-10"
"Q15118","PDHK1","PDK1","Kinase","3","1.289","0.201","6.407","1.49e-10","5.25e-10"
"Q15119","PDHK2","PDK2","Kinase","3","1.289","0.201","6.407","1.49e-10","5.25e-10"
"Q15120","PDHK3","PDK3","Kinase","3","1.289","0.201","6.407","1.49e-10","5.25e-10"
"Q16654","PDHK4","PDK4","Kinase","3","1.289","0.201","6.407","1.49e-10","5.25e-10"
"Q9Y572","RIPK3","RIPK3","Kinase","1","1.229","0.192","6.392","1.63e-10","5.68e-10"
"P45983","JNK1 iso2","MAPK8","Kinase","19","0.912","0.143","6.36","2.02e-10","6.92e-10"
"Q96GD4","AurB","AURKB","Kinase","22","1.057","0.167","6.314","2.71e-10","9.15e-10"
